"iter"	"ks_Srxn1"	"kd_Srxn1"	"Ka_Srxn1"	"hill_Srxn1"	"Vmax_Srxn1"	"Km_Srxn1"	"hillact_Srxn1"	"r_Eta"	"decay_Eta"	"LnPrior"	"LnData"	"LnPosterior"
4995166	0.0218967	0.0156851	0.0134878	1.00412	130429	107032	9.95185	1.08056	0.126021	-15.84027	-12889.33	-12905.17
4995167	0.0218967	0.0156851	0.0134878	1.00413	130373	107161	9.95185	1.10182	0.126021	-17.35367	-12889.37	-12906.72
4995168	0.0218967	0.0156238	0.0134878	1.00413	130373	107161	9.95185	1.10278	0.126021	-16.22237	-12888.76	-12904.98
4995169	0.0218967	0.0156238	0.0134878	1.00415	130373	107012	9.95185	1.10575	0.125771	-16.21581	-12890.69	-12906.91
4995170	0.0218967	0.0156238	0.0134878	1.00415	130373	107012	9.95185	1.05708	0.125771	-16.21705	-12890.99	-12907.2
4995171	0.0218967	0.0156299	0.0134878	1.00415	130373	107012	9.95185	1.05708	0.125185	-16.24028	-12894.11	-12910.35
4995172	0.0220688	0.0156438	0.0134878	1.00415	130373	107139	9.84112	1.10656	0.125185	-16.70834	-12893.17	-12909.88
4995173	0.022276	0.0156732	0.0134878	1.00414	130373	107114	9.82423	1.10656	0.127046	-16.40153	-12888.37	-12904.78
4995174	0.022276	0.0156732	0.0134878	1.00414	130359	107081	9.82423	1.10656	0.127046	-15.62645	-12888.82	-12904.45
4995175	0.0232443	0.0156985	0.0134878	1.00414	130420	107117	9.83596	1.1025	0.126636	-15.10469	-12888.91	-12904.01
4995176	0.0232443	0.0156985	0.0134878	1.00414	130287	107117	9.83596	1.1025	0.126203	-17.06194	-12888.83	-12905.89
4995177	0.0232443	0.0157335	0.0134878	1.00414	130287	107117	9.83596	1.0872	0.127534	-17.55701	-12888	-12905.56
4995178	0.0232443	0.0157335	0.0134878	1.00409	130378	107117	9.83596	1.0872	0.127534	-16.00195	-12888.81	-12904.82
4995179	0.0232443	0.0158291	0.0134878	1.00409	130378	107037	9.83596	1.08693	0.126196	-16.89506	-12888.67	-12905.57
4995180	0.0232443	0.0158114	0.013595	1.00389	130328	107037	9.83596	1.08693	0.126196	-17.83747	-12889.6	-12907.44
4995181	0.0221463	0.0158114	0.013595	1.00389	130328	107037	9.83596	1.08647	0.126196	-14.77543	-12891.77	-12906.55
4995182	0.0221463	0.0158114	0.013595	1.00381	130514	107037	9.77691	1.08647	0.126373	-15.87586	-12892.72	-12908.59
4995183	0.0221463	0.0158114	0.013595	1.00392	130514	107107	9.77691	1.08647	0.126373	-14.76226	-12891.8	-12906.57
4995184	0.0221463	0.0158114	0.013595	1.00392	130603	107107	9.77691	1.08647	0.126738	-15.40109	-12891.55	-12906.95
4995185	0.0221463	0.0158956	0.013595	1.00392	130603	107090	9.77691	1.08647	0.127402	-14.86203	-12895.99	-12910.85
4995186	0.0221463	0.0158956	0.013595	1.00392	130603	107073	9.77691	1.08325	0.127402	-15.55839	-12894.2	-12909.76
4995187	0.0220121	0.0159126	0.013595	1.00395	130591	106964	9.77691	1.08513	0.127402	-16.64778	-12890.18	-12906.83
4995188	0.0220121	0.0158781	0.013595	1.00406	130354	106964	9.64589	1.08513	0.125897	-17.28422	-12890.41	-12907.69
4995189	0.0220121	0.0157181	0.013595	1.00406	130354	106964	9.64589	1.08513	0.126766	-17.51406	-12889.15	-12906.66
4995190	0.0220121	0.0157181	0.013595	1.00406	130398	106961	9.74178	1.09904	0.125958	-16.62461	-12889.14	-12905.76
4995191	0.0220121	0.0157181	0.013595	1.00399	130470	106961	9.74178	1.09428	0.127065	-14.55166	-12893.24	-12907.79
4995192	0.0212088	0.0157181	0.013595	1.00402	130470	107098	9.74178	1.1025	0.127065	-14.66454	-12894.13	-12908.79
4995193	0.0211753	0.0155611	0.013595	1.00402	130470	107098	9.74178	1.1025	0.12746	-16.81888	-12890.88	-12907.7
4995194	0.0211753	0.0155611	0.013627	1.00402	130473	107098	9.96024	1.09957	0.12746	-16.97745	-12889.82	-12906.79
4995195	0.0211753	0.0155723	0.013627	1.00411	130473	107075	9.96024	1.09957	0.127043	-17.01627	-12887.45	-12904.47
4995196	0.0211753	0.0155723	0.013627	1.00411	130473	107171	9.96024	1.0946	0.127043	-18.61054	-12886.01	-12904.62
4995197	0.0211753	0.0155964	0.0136099	1.00411	130473	107171	9.95156	1.0946	0.127043	-18.22369	-12886.12	-12904.35
4995198	0.0222313	0.0155964	0.0136099	1.00411	130473	107086	9.95156	1.05384	0.127043	-16.49231	-12888.83	-12905.32
4995199	0.0212365	0.0155964	0.013579	1.00411	130473	107086	9.95156	1.06038	0.127043	-16.1554	-12887.33	-12903.49
4995200	0.0212365	0.0155964	0.013579	1.00417	130559	107086	9.949	1.09043	0.127587	-16.3426	-12888.12	-12904.46
4995201	0.0230186	0.015896	0.013579	1.00408	130472	107119	9.949	1.09043	0.12713	-14.0173	-12891.47	-12905.49
4995202	0.0230186	0.015896	0.0132973	1.00425	130480	107119	9.99233	1.09043	0.126935	-15.06548	-12888.89	-12903.96
4995203	0.0230186	0.0159732	0.0132973	1.00425	130480	107159	9.99233	1.09043	0.127595	-15.49231	-12891.04	-12906.53
